period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,generation,gross-generation,generation-units,gross-generation-units
2018-05-01,60129,"Red Toad 1425 A Powatan Road, LLC",SUN,Solar,NC,North Carolina,ALL,413.76,415.54,megawatthours,megawatthours
2018-05-01,60129,"Red Toad 1425 A Powatan Road, LLC",SUN,Solar,NC,North Carolina,PV,413.76,415.54,megawatthours,megawatthours
2018-05-01,60131,Durham Solar,SUN,Solar,NC,North Carolina,ALL,618.34,621.27,megawatthours,megawatthours
2018-05-01,60131,Durham Solar,SUN,Solar,NC,North Carolina,PV,618.34,621.27,megawatthours,megawatthours
2018-05-01,60132,New Creek Wind,WND,Wind,WV,West Virginia,ALL,22186.0,22246.0,megawatthours,megawatthours
2018-05-01,60132,New Creek Wind,WND,Wind,WV,West Virginia,WT,22186.0,22246.0,megawatthours,megawatthours
2018-05-01,60133,"Morgan Farm, LLC",SUN,Solar,NC,North Carolina,ALL,979.68,984.06,megawatthours,megawatthours
2018-05-01,60133,"Morgan Farm, LLC",SUN,Solar,NC,North Carolina,PV,979.68,984.06,megawatthours,megawatthours
2018-05-01,60134,"Nashville Farms, LLC",SUN,Solar,NC,North Carolina,ALL,376.69,378.36,megawatthours,megawatthours
2018-05-01,60134,"Nashville Farms, LLC",SUN,Solar,NC,North Carolina,PV,376.69,378.36,megawatthours,megawatthours
2017-11-01,54453,EDF Renewable Windfarm V Inc,WND,Wind,CA,California,ALL,814.13,851.75,megawatthours,megawatthours
2017-11-01,54453,EDF Renewable Windfarm V Inc,WND,Wind,CA,California,WT,814.13,851.75,megawatthours,megawatthours
2018-05-01,60259,"Pioneer Wind Park, LLC",WND,Wind,WY,Wyoming,WT,19584.57,19618.44,megawatthours,megawatthours
2018-05-01,60261,Playa Solar 2,SUN,Solar,NV,Nevada,ALL,31630.0,31636.0,megawatthours,megawatthours
2018-05-01,60261,Playa Solar 2,SUN,Solar,NV,Nevada,PV,31630.0,31636.0,megawatthours,megawatthours
2018-05-01,60262,Prairie Breeze II,WND,Wind,NE,Nebraska,ALL,22334.8,22334.8,megawatthours,megawatthours
2018-05-01,60262,Prairie Breeze II,WND,Wind,NE,Nebraska,WT,22334.8,22334.8,megawatthours,megawatthours
2018-05-01,60265,Junction Road,SUN,Solar,NJ,New Jersey,ALL,710.4,740.0,megawatthours,megawatthours
2018-05-01,60265,Junction Road,SUN,Solar,NJ,New Jersey,PV,710.4,740.0,megawatthours,megawatthours
2018-05-01,60366,Old Settler Wind,WND,Wind,TX,Texas,ALL,65765.0,66912.0,megawatthours,megawatthours
