period,respondent,respondent-name,fueltype,type-name,timezone,timezone-description,value,value-units
2022-10-27,WALC,Western Area Power Administration - Desert Southwest Region,SUN,Solar,Eastern,Eastern,1641,megawatthours
2022-10-27,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,SUN,Solar,Eastern,Eastern,76,megawatthours
2022-10-23,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,SUN,Solar,Eastern,Eastern,71,megawatthours
2022-10-23,IPCO,Idaho Power Company,SUN,Solar,Eastern,Eastern,1318,megawatthours
2022-10-23,PSEI,"Puget Sound Energy, Inc.",SUN,Solar,Central,Central,50,megawatthours
2022-10-23,TEPC,Tucson Electric Power,SUN,Solar,Central,Central,2097,megawatthours
2022-10-23,WALC,Western Area Power Administration - Desert Southwest Region,SUN,Solar,Eastern,Eastern,1547,megawatthours
2022-10-23,WACM,Western Area Power Administration - Rocky Mountain Region,SUN,Solar,Pacific,Pacific,962,megawatthours
2022-10-23,NEVP,Nevada Power Company,SUN,Solar,Pacific,Pacific,13414,megawatthours
2022-10-23,US48,United States Lower 48,SUN,Solar,Eastern,Eastern,286859,megawatthours
2022-10-26,PJM,"PJM Interconnection, LLC",SUN,Solar,Mountain,Mountain,6242,megawatthours
2022-10-27,GRID,"Gridforce Energy Management, LLC",SUN,Solar,Central,Central,998,megawatthours
2022-10-26,CAR,Carolinas,SUN,Solar,Central,Central,14075,megawatthours
2022-10-27,SW,Southwest,SUN,Solar,Arizona,Arizona,15378,megawatthours
2022-10-26,NYIS,New York Independent System Operator,SUN,Solar,Arizona,Arizona,0,megawatthours
2022-10-27,SEC,Seminole Electric Cooperative,SUN,Solar,Eastern,Eastern,9,megawatthours
2022-10-26,PACE,PacifiCorp East,SUN,Solar,Arizona,Arizona,7949,megawatthours
2022-10-26,CPLE,Duke Energy Progress East,SUN,Solar,Arizona,Arizona,7018,megawatthours
2022-10-27,CPLE,Duke Energy Progress East,SUN,Solar,Eastern,Eastern,13407,megawatthours
2022-10-27,AVA,Avista Corporation,SUN,Solar,Pacific,Pacific,82,megawatthours
2022-10-26,ERCO,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Arizona,Arizona,78424,megawatthours
2022-10-27,CENT,Central,SUN,Solar,Central,Central,710,megawatthours
2022-10-26,NW,Northwest,SUN,Solar,Pacific,Pacific,32412,megawatthours
2022-10-27,EPE,El Paso Electric Company,SUN,Solar,Eastern,Eastern,764,megawatthours
